"Reporting.Economy.Code","Product.Sector.Code","Unit.Code","2019.","2020.","2021.","2022.E","2018.","2016.","2017.","2022.","2017.E","2019.E","2021.E","2020.E","2018.E","2016.E","2016.B","2017.B"
"040","MACL","USM",3290.059106,2965.855901,3349.947794,NA,3160.607985,2667.75292,2896.717195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MAIS","USM",8680.799011,7127.629467,9977.357025,NA,9950.063158,7162.327676,8759.316079,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MAMT","USM",73194.439617,65949.887704,76099.404205,NA,75578.140433,62418.579385,68850.420291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MAMTAU","USM",21462.611714,17761.114064,19467.913097,NA,20714.32993,16935.315065,18348.535876,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MAMTOF","USM",9096.663078,8471.243762,9553.396446,NA,10988.013821,9117.728226,10443.056873,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MAMTOTEP","USM",1980.838543,1951.890625,2099.893243,NA,2089.928441,1801.32203,1907.428603,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MAMTOTIC","USM",1780.103928,1528.627909,1908.469268,NA,1932.067123,1635.116997,1789.792233,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MAMTOTTL","USM",5335.720607,4990.725228,5545.033935,NA,6966.018257,5681.289199,6745.836038,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MAMTTE","USM",28060.072292,23903.419466,27005.058036,NA,27171.65101,22892.301536,24732.379123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MATE","USM",2016.531376,2205.673157,2250.16066,NA,2144.265818,1974.782277,2047.884482,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MI","USM",9789.943533,8862.242687,12603.173144,NA,10267.196084,7242.417551,8783.625473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MIFU","USM",4019.488961,3225.920537,4923.525529,NA,3879.22456,2543.005327,3165.740698,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","TO","USM",178669.83162,169417.52251,202806.14937,NA,184814.99461,152089.86525,168026.359,211392.08602,NA,NA,NA,NA,NA,NA,NA,NA
